dataset,model,fname,ACC,iou,iouA,iouB,dice,DSC,model_
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_33024_18688_real_B_d.png,0.864074707,0.539641004,0.220647419,0.858634589,0.432037354,0.361525229,2
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_34560_55296_real_B_a.png,0.790084839,0.641226889,0.706241592,0.576212187,0.395042419,0.827833052,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_34560_55296_real_B_b.png,0.581375122,0.386203521,0.265815671,0.506591371,0.290687561,0.419991121,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_34560_55296_real_B_c.png,0.624008179,0.453312873,0.46334611,0.443279637,0.312004089,0.633269337,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_34560_55296_real_B_d.png,0.707794189,0.508166795,0.647680024,0.368653567,0.353897095,0.78617209,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_36608_64000_real_B_a.png,0.733810425,0.534257874,0.389030925,0.679484824,0.366905212,0.560147248,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_36608_64000_real_B_b.png,0.88508606,0.523519094,0.164614531,0.882423656,0.44254303,0.28269359,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_36608_64000_real_B_c.png,0.738174438,0.583350687,0.557095658,0.609605715,0.369087219,0.715557397,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_36608_64000_real_B_d.png,0.76234436,0.597869315,0.512580585,0.683158045,0.38117218,0.677756398,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_36608_65024_real_B_a.png,0.71925354,0.519413637,0.661783088,0.377044185,0.35962677,0.79647349,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_36608_65024_real_B_b.png,0.772216797,0.619964532,0.678407549,0.561521516,0.386108398,0.808394301,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_36608_65024_real_B_c.png,0.707717896,0.534376615,0.612991211,0.455762018,0.353858948,0.76006764,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,13_39_36608_65024_real_B_d.png,0.709747314,0.549834138,0.539229223,0.560439053,0.354873657,0.70064837,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_30464_60672_real_B_a.png,0.696228027,0.456395026,0.250987622,0.661802429,0.348114014,0.401263158,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_30464_60672_real_B_b.png,0.631347656,0.376294322,0.146048353,0.606540291,0.315673828,0.254872934,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_30464_60672_real_B_c.png,0.829101563,0.538513777,0.258769027,0.818258527,0.414550781,0.411146162,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_30464_60672_real_B_d.png,0.770736694,0.479856215,0.203213661,0.756498768,0.385368347,0.33778483,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_31488_34560_real_B_a.png,0.414230347,0.24638644,0.140666622,0.352106258,0.207115173,0.246639323,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_31488_34560_real_B_b.png,0.953048706,0.517035651,0.081218274,0.952853028,0.476524353,0.150234742,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_31488_34560_real_B_c.png,0.41078186,0.223621727,0.05911162,0.388131833,0.20539093,0.111624911,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_31488_34560_real_B_d.png,0.808334351,0.544461733,0.29752251,0.791400957,0.404167175,0.458600922,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_32000_37632_real_B_a.png,0.601043701,0.413725517,0.317140693,0.51031034,0.300521851,0.481559327,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_32000_37632_real_B_b.png,0.766265869,0.50311731,0.260999614,0.745235006,0.383132935,0.413956691,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_32000_37632_real_B_c.png,0.709869385,0.550115599,0.557309492,0.542921705,0.354934692,0.715733764,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_32000_37632_real_B_d.png,0.812973022,0.480351588,0.154339727,0.80636345,0.406486511,0.267407806,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_32000_54016_real_B_a.png,0.774261475,0.606479229,0.506915975,0.706042482,0.387130737,0.672785986,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_32000_54016_real_B_b.png,0.69732666,0.533110542,0.50110664,0.565114444,0.34866333,0.667649621,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_32000_54016_real_B_c.png,0.876693726,0.478873439,0.082434427,0.875312452,0.438346863,0.152313018,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_32000_54016_real_B_d.png,0.89944458,0.522733889,0.147808095,0.897659684,0.44972229,0.257548445,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_33024_18688_real_B_a.png,0.670181274,0.493366109,0.566642608,0.420089609,0.335090637,0.723384651,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_33024_18688_real_B_b.png,0.737716675,0.582033107,0.550379283,0.613686931,0.368858337,0.709993083,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_33024_18688_real_B_c.png,0.665710449,0.498349439,0.515341902,0.481356975,0.332855225,0.680165844,3
Hepatic Artery Branch,cycleGAN+MT2F-UNET,1_41_33024_18688_real_B_d.png,0.863693237,0.542689766,0.227382806,0.857996725,0.431846619,0.370516525,3
Hepatic Artery Branch,HE2F,13_39_34560_55296_real_B_a.png,0.827880859,0.688140613,0.763417857,0.61286337,0.41394043,0.865838864,4
Hepatic Artery Branch,HE2F,13_39_34560_55296_real_B_b.png,0.816390991,0.688456373,0.708509968,0.668402778,0.408195496,0.829389329,4
Hepatic Artery Branch,HE2F,13_39_34560_55296_real_B_c.png,0.803924561,0.666390806,0.710167809,0.622613803,0.40196228,0.830524122,4
Hepatic Artery Branch,HE2F,13_39_34560_55296_real_B_d.png,0.802658081,0.605499569,0.765468591,0.445530547,0.401329041,0.867156284,4
Hepatic Artery Branch,HE2F,13_39_36608_64000_real_B_a.png,0.780654907,0.620843703,0.535120626,0.70656678,0.390327454,0.697170785,4
Hepatic Artery Branch,HE2F,13_39_36608_64000_real_B_b.png,0.947296143,0.560980916,0.175262655,0.946699176,0.473648071,0.298252743,4
Hepatic Artery Branch,HE2F,13_39_36608_64000_real_B_c.png,0.762359619,0.6158504,0.62285991,0.608840889,0.38117981,0.767607735,4
Hepatic Artery Branch,HE2F,13_39_36608_64000_real_B_d.png,0.841720581,0.720369026,0.678296737,0.762441315,0.420860291,0.808315624,4
Hepatic Artery Branch,HE2F,13_39_36608_65024_real_B_a.png,0.833572388,0.649222632,0.800701665,0.497743599,0.416786194,0.889321846,4
Hepatic Artery Branch,HE2F,13_39_36608_65024_real_B_b.png,0.879867554,0.764046303,0.835199799,0.692892807,0.439933777,0.910200404,4
Hepatic Artery Branch,HE2F,13_39_36608_65024_real_B_c.png,0.809005737,0.654001138,0.747503681,0.560498596,0.404502869,0.855510279,4
Hepatic Artery Branch,HE2F,13_39_36608_65024_real_B_d.png,0.765701294,0.619281993,0.639477824,0.599086162,0.382850647,0.780099388,4
Hepatic Artery Branch,HE2F,1_41_30464_60672_real_B_a.png,0.842834473,0.714173244,0.650492026,0.777854462,0.421417236,0.788240132,4
Hepatic Artery Branch,HE2F,1_41_30464_60672_real_B_b.png,0.669555664,0.503190517,0.497435659,0.508945375,0.334777832,0.664383349,4
Hepatic Artery Branch,HE2F,1_41_30464_60672_real_B_c.png,0.860778809,0.609077327,0.369758928,0.848395726,0.430389404,0.539889057,4
Hepatic Artery Branch,HE2F,1_41_30464_60672_real_B_d.png,0.5184021,0.346132981,0.296543116,0.395722847,0.25920105,0.457436567,4
Hepatic Artery Branch,HE2F,1_41_31488_34560_real_B_a.png,0.787155151,0.628657113,0.715605122,0.541709104,0.393577576,0.834230573,4
Hepatic Artery Branch,HE2F,1_41_31488_34560_real_B_b.png,0.958953857,0.482611611,0.006280015,0.958943207,0.479476929,0.012481645,4
Hepatic Artery Branch,HE2F,1_41_31488_34560_real_B_c.png,0.719589233,0.557937472,0.600308843,0.5155661,0.359794617,0.750241237,4
Hepatic Artery Branch,HE2F,1_41_31488_34560_real_B_d.png,0.882080078,0.724441059,0.591024555,0.857857563,0.441040039,0.742948377,4
Hepatic Artery Branch,HE2F,1_41_32000_37632_real_B_a.png,0.705703735,0.543374837,0.572568313,0.51418136,0.352851868,0.728195155,4
Hepatic Artery Branch,HE2F,1_41_32000_37632_real_B_b.png,0.673126221,0.487032078,0.385061431,0.589002724,0.33656311,0.556020725,4
Hepatic Artery Branch,HE2F,1_41_32000_37632_real_B_c.png,0.713485718,0.544245957,0.612901231,0.475590683,0.356742859,0.759998466,4
Hepatic Artery Branch,HE2F,1_41_32000_37632_real_B_d.png,0.847106934,0.636433448,0.447355358,0.825511537,0.423553467,0.618169347,4
Hepatic Artery Branch,HE2F,1_41_32000_54016_real_B_a.png,0.855499268,0.729206688,0.658849382,0.799563993,0.427749634,0.794345031,4
Hepatic Artery Branch,HE2F,1_41_32000_54016_real_B_b.png,0.760269165,0.6076154,0.654650166,0.560580634,0.380134583,0.791285287,4
Hepatic Artery Branch,HE2F,1_41_32000_54016_real_B_c.png,0.984680176,0.639762591,0.29494382,0.984581362,0.492340088,0.455531453,4
Hepatic Artery Branch,HE2F,1_41_32000_54016_real_B_d.png,0.957946777,0.539995957,0.122292994,0.957698919,0.478973389,0.217934166,4
Hepatic Artery Branch,HE2F,1_41_33024_18688_real_B_a.png,0.748336792,0.552116392,0.695273816,0.408958968,0.374168396,0.820249578,4
Hepatic Artery Branch,HE2F,1_41_33024_18688_real_B_b.png,0.703536987,0.538071477,0.584103947,0.492039008,0.351768494,0.73745659,4
Hepatic Artery Branch,HE2F,1_41_33024_18688_real_B_c.png,0.738479614,0.555825742,0.670416522,0.441234962,0.369239807,0.802693835,4
Hepatic Artery Branch,HE2F,1_41_33024_18688_real_B_d.png,0.903961182,0.701048187,0.508741805,0.89335457,0.451980591,0.674392137,4
